"Source:","/home/marc/proj/bloodnok-marine/GracefulPSU/kicad/PSU.kicad_sch"
"Date:","Thu 03 Nov 2022 01:19:00 PM"
"Tool:","Eeschema 6.0.8"
"Generator:","/app/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"","","C1","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","16uF","Y","","C"
"","","C2","0.1μF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","","","","","","",""
"","","C3","0.1μF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","","","","","","",""
"","","C4","1.6F","Device:C_Polarized","my_extras:SuperCapacitor Module","~","","","","","","","","","",""
"","","C5","27μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","",""
"","","C6","1μF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C7","1μF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C8","1μF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C9","1μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","",""
"","","C10","0.1μF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","","","","","","",""
"","","C11","1000μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~","","","","","","","","","",""
"","","D1","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D2","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D3","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","spice/my_spice.lib","D1N4148_1","Y","2 1","D"
"","","D4","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D5","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D6","SS54","Device:D_Schottky","my_extras:DO-214AC","~","","","","","","","","","",""
"","","D7","SS54","Device:D_Schottky","my_extras:DO-214AC","~","","","","","","","","","",""
"","","D8","6.8V","Device:D_Zener","","~","","","","","","","","","",""
"","","D9","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","spice/my_spice.lib","D1N4148_1","Y","2 1","D"
"","","D10","6.8V","Device:D_Zener","","~","","","","","","","","","",""
"","","D11","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D12","SS54","Device:D_Schottky","my_extras:DO-214AC","~","","","","","","","","","",""
"","","J1","+12V in1","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J2","+12V in2","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J3","0v","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J4","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J5","LED-","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"","","J6","LED+","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"","","J7","Sw","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"","","J8","Sw","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"","","J9","+5V","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J10","0V","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J11","+5Vu","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","L1","6.8μH","Device:L","Inductor_SMD:L_Bourns-SRU1028_10.0x10.0mm","~","","","","","","","","","",""
"","","Q1","CSD19505","csd19502q5b:CSD19505KCS","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/gpn/csd19505kcs","","","","","","","","","",""
"","","Q2","IRF7319","IRF7319:IRF7319","my_extras:SOIC127P600X175-8N","None","SOIC-8 International Rectifier","Infineon Technologies","30V Dual N- and P- Channel HEXFET Power MOSFET in a SO-8 package","Unavailable","IRF7319","","","","",""
"","","Q3","CSD19505KCS","csd19502q5b:CSD19505KCS","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/gpn/csd19505kcs","","","","","","","","","",""
"","","R1","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R2","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R3","2M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","1Meg","Y","","R"
"","","R4","3.9M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R5","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R6","270K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R7","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R8","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R9","47M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R10","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R11","47K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R12","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R13","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R14","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R15","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R16","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R17","270K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R18","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R19","4.7M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R20","12k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R21","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R22","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R23","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R24","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R25","4.7M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R26","2K87","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","U1","LM358","Amplifier_Operational:LM358","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","","","","","","","","",""
"","","U2","LM22678TJ-ADJ","Regulator_Switching:LM22678TJ-ADJ","Package_TO_SOT_SMD:TO-263-7_TabPin8","https://www.ti.com/lit/ds/symlink/lm22678.pdf","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"1","1","C1","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","16uF","Y","","C"
"2","3","C2, C3, C10","0.1μF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","","","","","","",""
"3","1","C4","1.6F","Device:C_Polarized","my_extras:SuperCapacitor Module","~","","","","","","","","","",""
"4","1","C5","27μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","",""
"5","3","C6, C7, C8","1μF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"6","1","C9","1μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","",""
"7","1","C11","1000μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~","","","","","","","","","",""
"8","7","D1, D2, D3, D4, D5, D9, D11","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","spice/my_spice.lib","D1N4148_1","Y","2 1","D"
"9","3","D6, D7, D12","SS54","Device:D_Schottky","my_extras:DO-214AC","~","","","","","","","","","",""
"10","2","D8, D10","6.8V","Device:D_Zener","","~","","","","","","","","","",""
"11","1","J1","+12V in1","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"12","1","J2","+12V in2","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"13","1","J3","0v","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"14","1","J4","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~","","","","","","","","","",""
"15","1","J5","LED-","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"16","1","J6","LED+","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"17","2","J7, J8","Sw","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"18","1","J9","+5V","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"19","1","J10","0V","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"20","1","J11","+5Vu","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"21","1","L1","6.8μH","Device:L","Inductor_SMD:L_Bourns-SRU1028_10.0x10.0mm","~","","","","","","","","","",""
"22","1","Q1","CSD19505","csd19502q5b:CSD19505KCS","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/gpn/csd19505kcs","","","","","","","","","",""
"23","1","Q2","IRF7319","IRF7319:IRF7319","my_extras:SOIC127P600X175-8N","None","SOIC-8 International Rectifier","Infineon Technologies","30V Dual N- and P- Channel HEXFET Power MOSFET in a SO-8 package","Unavailable","IRF7319","","","","",""
"24","1","Q3","CSD19505KCS","csd19502q5b:CSD19505KCS","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/gpn/csd19505kcs","","","","","","","","","",""
"25","4","R1, R8, R10, R22","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"26","8","R2, R5, R7, R12, R14, R15, R16, R24","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"27","1","R3","2M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","1Meg","Y","","R"
"28","1","R4","3.9M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"29","2","R6, R17","270K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"30","1","R9","47M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"31","1","R11","47K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"32","2","R13, R21","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"33","2","R18, R23","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"34","2","R19, R25","4.7M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"35","1","R20","12k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"36","1","R26","2K87","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"37","1","U1","LM358","Amplifier_Operational:LM358","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","","","","","","","","",""
"38","1","U2","LM22678TJ-ADJ","Regulator_Switching:LM22678TJ-ADJ","Package_TO_SOT_SMD:TO-263-7_TabPin8","https://www.ti.com/lit/ds/symlink/lm22678.pdf","","","","","","","","","",""
